book_id,title,author,isbn,isbn13,asin,num_pages,avg_rating,num_ratings,year_pub_ed,text_review_count,genre,publisher,language,title_URL
54,The Weight of Blood ,"Jackson, Tiffany D.",63029146,9.78E+12,63029146,416,4.24,13868,2022,3135,Horror,Katherine Tegen Books,English,https://www.goodreads.com/book/show/59816818-the-weight-of-blood
55,Our Wives Under the Sea ,"Armfield, Julia",152901722X,9.78E+12,152901722X,240,3.84,35965,2022,7566,Horror,Picador,English,https://www.goodreads.com/book/show/58659343-our-wives-under-the-sea
56,On Rotation ,"Obuobi, Shirlene",63209144,9.78E+12,63209144,352,3.69,7693,2022,1490,Romance,Avon,English,https://www.goodreads.com/book/show/59088370-on-rotation
57,Cleopatra and Frankenstein ,"Mellors, Coco",1635576814,9.78E+12,1635576814,384,3.84,55040,2022,8672,Fiction,Bloomsbury Publishing,English,https://www.goodreads.com/book/show/57693262-cleopatra-and-frankenstein
58,Nightcrawling ,"Mottley, Leila",593318935,9.78E+12,593318935,277,4.03,35775,2022,4813,Fiction,Knopf,English,https://www.goodreads.com/book/show/58537371-nightcrawling
59,"The Magician's Nephew
 (Chronicles of Narnia, #6)","Lewis, C.S.",60764902,9.78E+12,60764902,221,4.05,512963,2005,19006,Fantasy,HarperCollins Narnia,English,https://www.goodreads.com/book/show/65605.The_Magician_s_Nephew
60,"The Horse and His Boy
 (Chronicles of Narnia, #5)","Lewis, C.S.",439861365,9.78E+12,439861365,224,3.91,333892,1995,10988,Fiction,Scholastic Inc,English,https://www.goodreads.com/book/show/84119.The_Horse_and_His_Boy
61,"The Silver Chair
 (Chronicles of Narnia, #4)","Lewis, C.S.",,9.78E+12,,243,3.95,284428,2008,7866,Fantasy,HarperCollins,English,https://www.goodreads.com/book/show/65641.The_Silver_Chair
62,"The Voyage of the Dawn Treader
 (Chronicles of Narnia, #3)","Lewis, C.S.",006112527X,9.78E+12,006112527X,248,4.09,452996,2006,9896,Fantasy,HarperCollins,English,https://www.goodreads.com/book/show/140225.The_Voyage_of_the_Dawn_Treader
63,"Prince Caspian
 (Chronicles of Narnia, #2)","Lewis, C.S.",000720230X,9.78E+12,000720230X,240,3.98,418032,2005,10720,Fantasy,HarperCollins Publishers,English,https://www.goodreads.com/book/show/121749.Prince_Caspian
64,Confessions of an Alleged Good Girl ,"Goffney, Joya",63024845,9.78E+12,63024845,368,4.29,4364,2022,1031,Romance,HarperTeen,English,https://www.goodreads.com/book/show/59028577-confessions-of-an-alleged-good-girl
65,Excuse Me While I Ugly Cry ,"Goffney, Joya",63024810,9.78E+12,,368,4.1,18785,2021,3205,Romance,HarperTeen,English,https://www.goodreads.com/book/show/53401676-excuse-me-while-i-ugly-cry
66,"Bloodmarked
 (Legendborn, #2)","Deonn, Tracy",1534441638,9.78E+12,1534441638,576,4.39,35918,2022,6962,Fantasy,Simon Schuster Books for Young Readers,English,https://www.goodreads.com/book/show/59365195-bloodmarked
67,"Legendborn
 (Legendborn, #1)","Deonn, Tracy",1534441603,9.78E+12,1534441603,501,4.39,105549,2020,20392,Fantasy,Margaret K. McElderry Books,English,https://www.goodreads.com/book/show/50892338-legendborn
68,Ace of Spades ,"Àbíké-Íyímídé, Faridah",1474967531,9.78E+12,1474967531,470,4.21,71781,2021,14185,Young Adult,Usborne,English,https://www.goodreads.com/book/show/42603984-ace-of-spades
69,Seven Days in June ,"Williams, Tia",,9.78E+12,,336,4.05,123055,2021,15631,Romance,Grand Central Publishing,English,https://www.goodreads.com/book/show/55648820-seven-days-in-june
70,"Allegiant
 (Divergent, #3)","Roth, Veronica",7524277,9.78E+12,7524277,531,3.61,1006317,2013,69833,Young Adult,HarperCollins Children's Book's,English,https://www.goodreads.com/book/show/18710190-allegiant
71,"Insurgent
 (Divergent, #2)","Roth, Veronica",7442912,9.78E+12,7442912,525,3.98,1432681,2012,62271,Young Adult,HarperCollins Children's Books,English,https://www.goodreads.com/book/show/11735983-insurgent
72,"This Woven Kingdom
 (This Woven Kingdom, #1)","Mafi, Tahereh",62972464,9.78E+12,,512,4.03,33348,2022,6392,Fantasy,HarperCollins,English,https://www.goodreads.com/book/show/56554281-this-woven-kingdom
73,"Imagine Me
 (Shatter Me, #6)","Mafi, Tahereh",006267644X,9.78E+12,,450,3.99,129136,2020,14415,Fantasy,HarperCollins,English,https://www.goodreads.com/book/show/44054122-imagine-me
74,"Restore Me
 (Shatter Me, #4)","Mafi, Tahereh",62676369,9.78E+12,62676369,435,4.18,194034,2018,22688,Fantasy,HarperCollins,English,https://www.goodreads.com/book/show/34992929-restore-me
75,"Ignite Me
 (Shatter Me, #3)","Mafi, Tahereh",,,B00DB2YN0C,421,4.47,373536,2014,40316,Dystopia,HarperCollins,English,https://www.goodreads.com/book/show/13188676-ignite-me
76,"Unravel Me
 (Shatter Me, #2)","Mafi, Tahereh",62085530,9.78E+12,62085530,461,4.17,432408,2013,40178,Dystopia,HarperCollins,English,https://www.goodreads.com/book/show/13104080-unravel-me
77,"The Death Cure
 (The Maze Runner, #3)","Dashner, James",385738773,9.78E+12,385738773,325,3.78,425190,2011,25999,Young Adult,Delacorte Books for Young Readers,English,https://www.goodreads.com/book/show/7864437-the-death-cure
78,"The Scorch Trials
 (The Maze Runner, #2)","Dashner, James",385738757,9.78E+12,385738757,362,3.9,553170,2010,29372,Young Adult,Delacorte Press,English,https://www.goodreads.com/book/show/7631105-the-scorch-trials
79,"The Maze Runner
 (The Maze Runner, #1)","Dashner, James",385737947,9.78E+12,385737947,384,4.04,1426773,2009,63045,Young Adult,Delacorte Press,English,https://www.goodreads.com/book/show/6186357-the-maze-runner
80,"Midnight Sun
 (The Twilight Saga, #5)","Meyer, Stephenie",031670704X,9.78E+12,031670704X,658,3.73,222238,2020,30313,Fantasy,"Little, Brown Books for Young Readers",English,https://www.goodreads.com/book/show/53287484-midnight-sun
81,"New Moon
 (The Twilight Saga, #2)","Meyer, Stephenie",,9.78E+12,,563,3.58,1829166,2006,55256,Fantasy,"Little, Brown and Company",English,https://www.goodreads.com/book/show/49041.New_Moon
82,"My Heart Is a Chainsaw
 (The Indian Lake Trilogy, #1)","Jones, Stephen Graham",1982137630,9.78E+12,1982137630,405,3.56,28772,2021,6175,Horror,Gallery / Saga Press,English,https://www.goodreads.com/book/show/55711617-my-heart-is-a-chainsaw
83,"A Curse for True Love
 (Once Upon a Broken Heart, #3)","Garber, Stephanie",1250851203,9.78E+12,1250851203,400,4.83,837,2023,401,Fantasy,Flatiron,English,https://www.goodreads.com/book/show/62816044-a-curse-for-true-love
84,"Once Upon a Broken Heart
 (Once Upon a Broken Heart, #1)","Garber, Stephanie",1250268397,9.78E+12,1250268397,416,4.13,131073,2021,20847,Fantasy,Flatiron Books,English,https://www.goodreads.com/book/show/55987278-once-upon-a-broken-heart
85,"Heir of Fire
 (Throne of Glass, #3)","Maas, Sarah J.",,9.78E+12,,576,4.46,599370,2023,44214,Fantasy,Bloomsbury USA Childrens,English,https://www.goodreads.com/book/show/76706470-heir-of-fire
86,"A Reaper at the Gates
 (An Ember in the Ashes, #3)","Tahir, Sabaa",448494507,9.78E+12,448494507,458,4.17,84259,2018,10063,Fantasy,Razorbill,English,https://www.goodreads.com/book/show/30809786-a-reaper-at-the-gates
87,"An Ember in the Ashes
 (An Ember in the Ashes, #1)","Tahir, Sabaa",,9.78E+12,,446,4.26,274231,2016,32413,Fantasy,Razorbill,English,https://www.goodreads.com/book/show/27774758-an-ember-in-the-ashes
88,"The Dragon Reborn
 (The Wheel of Time, #3)","Jordan, Robert",765305119,9.78E+12,765305119,624,4.27,273280,2002,7297,Fantasy,Tor Fantasy,English,https://www.goodreads.com/book/show/34897.The_Dragon_Reborn
